baseline,noise_level,n_formulas,avg_heldout_accuracy,acc_ci_lower,acc_ci_upper,sym_eq_rate,sym_eq_ci_lower,sym_eq_ci_upper,avg_complexity,comp_ci_lower,comp_ci_upper,avg_query_cost,query_ci_lower,query_ci_upper
random_search,0,795,0.0097,0.0047,0.0153,0.0126,0.0050,0.0214,4.00,3.94,4.06,0.00,0.00,0.00
greedy_symbolic_search,0,795,0.9849,0.9761,0.9925,0.9824,0.9723,0.9912,6.33,6.15,6.52,10.00,10.00,10.00
active_random,0,795,0.9849,0.9761,0.9925,0.9824,0.9723,0.9912,6.33,6.15,6.52,4.48,4.20,4.78
active_infogain,0,795,0.9849,0.9761,0.9925,0.9849,0.9761,0.9925,6.33,6.14,6.52,4.43,4.15,4.73
oracle,0,795,0.9849,0.9761,0.9925,1.0000,1.0000,1.0000,6.41,6.23,6.59,0.00,0.00,0.00
random_search,0.01,795,0.0145,0.0083,0.0216,0.0126,0.0050,0.0214,4.00,3.94,4.06,0.00,0.00,0.00
greedy_symbolic_search,0.01,795,0.9649,0.9522,0.9765,0.9811,0.9711,0.9899,6.34,6.15,6.52,10.00,10.00,10.00
active_random,0.01,795,0.9476,0.9322,0.9626,0.9623,0.9484,0.9748,6.27,6.07,6.47,4.65,4.38,4.93
active_infogain,0.01,795,0.9564,0.9415,0.9701,0.9748,0.9635,0.9849,6.31,6.11,6.50,4.61,4.33,4.90
oracle,0.01,795,0.9651,0.9525,0.9766,1.0000,1.0000,1.0000,6.41,6.23,6.59,0.00,0.00,0.00
random_search,0.05,795,0.0148,0.0085,0.0219,0.0126,0.0050,0.0214,4.00,3.94,4.06,0.00,0.00,0.00
greedy_symbolic_search,0.05,795,0.9421,0.9272,0.9559,0.9698,0.9572,0.9811,6.36,6.17,6.55,10.00,10.00,10.00
active_random,0.05,795,0.9092,0.8902,0.9273,0.9396,0.9233,0.9560,6.25,6.04,6.45,5.83,5.59,6.08
active_infogain,0.05,795,0.9332,0.9171,0.9481,0.9673,0.9547,0.9786,6.31,6.11,6.51,5.68,5.43,5.95
oracle,0.05,795,0.9424,0.9277,0.9560,1.0000,1.0000,1.0000,6.41,6.23,6.59,0.00,0.00,0.00
random_search,0.1,795,0.0151,0.0088,0.0223,0.0126,0.0050,0.0214,4.00,3.94,4.06,0.00,0.00,0.00
greedy_symbolic_search,0.1,795,0.9094,0.8916,0.9258,0.9547,0.9396,0.9686,6.41,6.21,6.60,10.00,10.00,10.00
active_random,0.1,795,0.8719,0.8507,0.8926,0.9245,0.9057,0.9421,6.24,6.04,6.44,6.72,6.48,6.95
active_infogain,0.1,795,0.9031,0.8845,0.9204,0.9623,0.9484,0.9748,6.35,6.15,6.54,6.53,6.28,6.78
oracle,0.1,795,0.9100,0.8923,0.9263,1.0000,1.0000,1.0000,6.41,6.23,6.59,0.00,0.00,0.00
