baseline,noise_level,symeq_rate,dimvalid_rate,avg_r2,avg_queries,verifier_rejection_rate,oracle_gap
random_search,0,0.0345,0.0230,0.0345,0.0,0.0000,0.9655
greedy_symbolic_search,0,1.0000,0.7931,1.0000,10.0,0.0000,0.0000
active_random,0,1.0000,0.7931,1.0000,10.0,0.0000,0.0000
active_infogain,0,1.0000,0.7931,1.0000,10.0,0.0000,0.0000
active_infogain_plus_verifier,0,1.0000,0.7931,1.0000,10.0,0.8751,0.0000
oracle,0,1.0000,0.7931,1.0000,0.0,0.0000,0.0000
random_search,0.01,0.0345,0.0230,0.0344,0.0,0.0000,0.9656
greedy_symbolic_search,0.01,1.0000,0.7931,0.9978,10.0,0.0000,0.0022
active_random,0.01,1.0000,0.7931,0.9978,10.0,0.0000,0.0022
active_infogain,0.01,1.0000,0.7931,0.9978,10.0,0.0000,0.0022
active_infogain_plus_verifier,0.01,1.0000,0.7931,0.9978,10.0,0.8751,0.0022
oracle,0.01,1.0000,0.7931,0.9978,0.0,0.0000,0.0022
random_search,0.05,0.0345,0.0230,0.0327,0.0,0.0000,0.9673
greedy_symbolic_search,0.05,1.0000,0.7931,0.9695,10.0,0.0000,0.0305
active_random,0.05,1.0000,0.7931,0.9695,10.0,0.0000,0.0305
active_infogain,0.05,1.0000,0.7931,0.9695,10.0,0.0000,0.0305
active_infogain_plus_verifier,0.05,1.0000,0.7931,0.9695,10.0,0.8751,0.0305
oracle,0.05,1.0000,0.7931,0.9695,0.0,0.0000,0.0305
