baseline,noise_level,anomaly_resolution_rate,heldout_residual_reduction,correction_recovery_rate,false_positive_correction_rate,dimensional_validity_rate,avg_complexity,avg_queries,oracle_gap
baseline_model_only,0,0.2500,0.2500,0.2500,0.0000,1.0000,1.0,0.0,0.6250
random_correction_search,0,0.2500,0.2500,0.2500,0.0417,0.5833,4.8,0.0,0.6250
greedy_residual_fit,0,0.8750,0.8750,0.7500,0.1250,0.6250,5.0,5.9,0.0000
active_random_correction,0,0.8750,0.8750,0.7500,0.1250,0.6250,5.0,10.0,0.0000
active_infogain_correction,0,0.7083,0.7083,0.5833,0.1250,0.5417,4.7,10.0,0.1667
active_infogain_plus_verifier,0,0.7500,0.7500,0.7500,0.0000,1.0000,3.0,10.0,0.1250
oracle_planted_correction,0,0.8750,0.8750,1.0000,0.0000,0.7500,5.0,0.0,0.0000
baseline_model_only,0.01,0.0000,0.0000,0.2500,0.0000,1.0000,1.0,0.0,0.6197
random_correction_search,0.01,0.0000,0.0000,0.2500,0.0417,0.5833,4.8,0.0,0.6197
greedy_residual_fit,0.01,0.6250,0.6197,0.7500,0.1250,0.6250,5.0,5.9,0.0000
active_random_correction,0.01,0.6250,0.6197,0.7500,0.1250,0.6250,5.0,10.0,0.0000
active_infogain_correction,0.01,0.6250,0.6197,0.7500,0.1250,0.6250,5.0,10.0,0.0000
active_infogain_plus_verifier,0.01,0.5000,0.4978,0.7500,0.0000,1.0000,3.0,10.0,0.1218
oracle_planted_correction,0.01,0.6250,0.6197,1.0000,0.0000,0.7500,5.0,0.0,0.0000
baseline_model_only,0.05,0.0000,0.0000,0.2500,0.0000,1.0000,1.0,0.0,0.5309
random_correction_search,0.05,0.0000,0.0000,0.2500,0.0417,0.5833,4.8,0.0,0.5309
greedy_residual_fit,0.05,0.3750,0.5309,0.7500,0.1250,0.6250,5.0,5.9,0.0000
active_random_correction,0.05,0.3750,0.5309,0.7500,0.1250,0.6250,5.0,10.0,0.0000
active_infogain_correction,0.05,0.3750,0.5309,0.7500,0.1250,0.6250,5.0,10.0,0.0000
active_infogain_plus_verifier,0.05,0.3750,0.4565,0.7500,0.0000,1.0000,3.0,10.0,0.0744
oracle_planted_correction,0.05,0.3750,0.5309,1.0000,0.0000,0.7500,5.0,0.0,0.0000
