baseline,noise_level,parse_success_rate,verifier_pass_rate,hallucination_rate,invalid_dimension_rate,recovery_rate,avg_r2,avg_queries,oracle_gap
llm_raw_candidate,0,0.8879,0.0000,0.1121,0.9540,0.0115,0.0115,0.0,0.9885
llm_plus_parser,0,0.8931,0.0000,0.1069,0.7126,0.2299,0.5555,0.0,0.4445
llm_plus_verifier,0,0.8575,0.0341,0.1425,0.9659,0.1264,0.3635,0.0,0.6365
llm_plus_active_infogain,0,0.8782,0.0000,0.1218,0.0920,0.1264,0.1546,10.0,0.8454
library_active_infogain,0,0.0000,0.0000,0.0000,0.2069,1.0000,1.0000,10.0,0.0000
oracle,0,0.0000,0.0000,0.0000,0.2069,1.0000,1.0000,0.0,0.0000
llm_raw_candidate,0.01,0.8879,0.0000,0.1121,0.9540,0.0115,0.0115,0.0,0.9885
llm_plus_parser,0.01,0.8931,0.0000,0.1069,0.7126,0.2299,0.5647,0.0,0.4353
llm_plus_verifier,0.01,0.8575,0.0341,0.1425,0.9659,0.1264,0.3716,0.0,0.6284
llm_plus_active_infogain,0.01,0.8782,0.0000,0.1218,0.0920,0.1264,0.1556,10.0,0.8444
library_active_infogain,0.01,0.0000,0.0000,0.0000,0.2069,1.0000,0.9978,10.0,0.0022
oracle,0.01,0.0000,0.0000,0.0000,0.2069,1.0000,0.9978,0.0,0.0022
llm_raw_candidate,0.05,0.8879,0.0000,0.1121,0.9540,0.0115,0.0114,0.0,0.9886
llm_plus_parser,0.05,0.8931,0.0000,0.1069,0.7241,0.2299,0.5523,0.0,0.4477
llm_plus_verifier,0.05,0.8575,0.0341,0.1425,0.9659,0.1264,0.3605,0.0,0.6395
llm_plus_active_infogain,0.05,0.8782,0.0000,0.1218,0.1609,0.1264,0.2522,10.0,0.7478
library_active_infogain,0.05,0.0000,0.0000,0.0000,0.2069,1.0000,0.9695,10.0,0.0305
oracle,0.05,0.0000,0.0000,0.0000,0.2069,1.0000,0.9695,0.0,0.0305
