baseline,noise_level,graph_f1,graph_precision,graph_recall,shd,int_r2,cf_accuracy,compression,avg_queries,oracle_gap
random_graph_search,0,0.4774,0.5091,0.5139,8.2,0.0866,1.0000,0.4690,0.0,0.5226
greedy_fit,0,0.7962,0.7041,0.9604,5.2,0.1571,1.0000,0.6657,100.0,0.2038
active_random_intervention,0,0.7860,0.6753,0.9806,5.5,0.1324,1.0000,0.7056,10.0,0.2140
active_infogain_intervention,0,0.7933,0.6805,0.9911,5.3,0.1292,1.0000,0.7086,10.0,0.2067
oracle_graph,0,1.0000,1.0000,1.0000,0.0,0.8848,1.0000,0.4661,0.0,0.0000
random_graph_search,0.01,0.4774,0.5091,0.5139,8.2,0.0865,1.0000,0.4690,0.0,0.5226
greedy_fit,0.01,0.7962,0.7041,0.9604,5.2,0.1566,1.0000,0.6657,100.0,0.2038
active_random_intervention,0.01,0.7860,0.6753,0.9806,5.5,0.1321,1.0000,0.7056,10.0,0.2140
active_infogain_intervention,0.01,0.7924,0.6791,0.9911,5.4,0.1288,1.0000,0.7101,10.0,0.2076
oracle_graph,0.01,1.0000,1.0000,1.0000,0.0,0.8828,1.0000,0.4661,0.0,0.0000
random_graph_search,0.05,0.4774,0.5091,0.5139,8.2,0.0860,1.0000,0.4690,0.0,0.5226
greedy_fit,0.05,0.7962,0.7041,0.9604,5.2,0.1546,1.0000,0.6657,100.0,0.2038
active_random_intervention,0.05,0.7860,0.6753,0.9806,5.5,0.1307,1.0000,0.7056,10.0,0.2140
active_infogain_intervention,0.05,0.7921,0.6796,0.9889,5.4,0.1271,1.0000,0.7066,10.0,0.2079
oracle_graph,0.05,1.0000,1.0000,1.0000,0.0,0.8748,1.0000,0.4661,0.0,0.0000
